q1	q2	q3	q4	q5	q6	q7	q8	q9	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21	q22	Location	Position	Status	Gender	Comments	PDCPDCProjectID	PDCPDCAppVer	Date	HTTP_USER_AGENT	REMOTE_ADDR	REMOTE_HOST	REMOTE_USER
2	3	5	2	3	1	2	4	3	3	4	4	5	5	5	3	4	3	3	2	3	4	1	1	1	2		Climate	3.00.63	Wed Feb 05 2002 13:05:25	Mozilla/4.79 [en] (WinNT; U)	155.31.69.211	node69-211.unnamed.db.erau.edu	
2	2	2	2	2	2	2	2	3		3	3	3	3	3	2	3	2	2	2	2	3	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:06:33	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	155.31.23.199	node23-199.unnamed.db.erau.edu	
1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:06:50	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	155.31.230.213	node230-213.unnamed.db.erau.edu	
1	1	1	1	1	1	1	1	2	3	3	3	2	1	1	1	1	3	1	2	1	2	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:06:53	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	155.31.230.176	node230-176.unnamed.db.erau.edu	
2	2	2	1	1	1	1	2	2	2	2	2	3	3	3	2	3	2	1	1	2	3	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:07:12	Mozilla/4.72 [en] (WinNT; U)	155.31.25.50	node25-50.unnamed.db.erau.edu	
1	1	2	2	3	3	3	3	3	3	3	3	4	4	4	4	5	3	2	1	3	4	3	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:07:17	Mozilla/4.51 [en] (WinNT; U)	155.31.11.25	node11-25.unnamed.db.erau.edu	
4	4	5	4	3	3	3	4	4	5	4	5	4	3	2	5	4	5	3	1	4	5	1	1	1	2	Surveys ignored are far worse that survey NOT taken.	Climate	3.00.63	Wed Feb 05 2002 13:07:46	Mozilla/4.77 (Macintosh; U; PPC)	155.31.71.35	node71-35.unnamed.db.erau.edu	
1	2	3	2	1	1	1	4	3	3	3	2	4	2	3	3	5	3	2	1	1	3	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:07:49	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; Q312461)	155.31.25.195	node25-195.unnamed.db.erau.edu	
2	1	3	2	2	1	1	2	1	2	3	2	2	4	2	2	3	2	1	1	3	3	1	1	1	2		Climate	3.00.63	Wed Feb 05 2002 13:07:51	Mozilla/4.78 [en] (Windows NT 5.0; U)	155.31.129.196	node129-196.unnamed.db.erau.edu	
1	1	1	2	1	2	1	1	1	3	2	3	3	4	2	2	2	2	2	1	1	2	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:07:51	Mozilla/4.72 [en] (WinNT; I)	155.31.21.153	node21-153.unnamed.db.erau.edu	
